"ZIP5","Electric","Total_Cars","Median_Household_Income","White_perc","BachOrHigher_perc","Zillow_Home_Value_Index","Total_Population","ZIP3","ev_perc","non_white","car_density","maj_white"
91354,907,24434,136229,51.9,54,800658.39,33461,"913",3.7120405991651,48.1,730.223244971758,1
91364,902,21647,116443,65,55.7,1239113.02,28264,"913",4.16685914907377,35,765.885932635154,1
94037,98,2447,165722,86.7,57.8,1460889.28,2879,"940",4.0049039640376,13.3,849.947898575894,1
90293,338,8803,110884,64.5,72,887103.11,12812,"902",3.83960013631716,35.5,687.090227911333,1
94973,47,1275,125579,86,59.6,1004789.1,1344,"949",3.68627450980392,14,948.660714285714,1
92606,644,16996,124586,33.3,67,1157704.81,25126,"926",3.78912685337726,66.7,676.430788824325,0
94086,1463,32390,162017,29.7,70.5,1684465.2,48482,"940",4.51682618092004,70.3,668.082999876243,0
91301,840,20656,142177,73.4,64.1,1122028.5,25737,"913",4.06661502711077,26.6,802.579943272332,1
92131,1292,29450,153058,50.6,68.8,1279597.63,36070,"921",4.38709677419355,49.4,816.467978929859,1
92009,1489,35516,149820,72.1,63,1374434.64,46622,"920",4.19247663025115,27.9,761.78628115482,1
92663,709,16569,118718,79.3,59.5,2229042.44,21523,"926",4.27907538173698,20.7,769.82762626028,1
94588,1130,26618,162286,36.6,65.8,1358538.25,35532,"945",4.24524757682771,63.4,749.127546999887,0
95130,417,9855,158656,39.5,60.6,1713333.59,13147,"951",4.23135464231355,60.5,749.600669354225,0
94542,458,10962,121563,31.3,49.9,1156068.89,16705,"945",4.17806969531108,68.7,656.210715354684,0
92661,109,2724,169911,64.6,54.5,3773352.04,3279,"926",4.0014684287812,35.4,830.741079597438,1
94111,90,2217,135735,44.4,66.5,1062201.45,4707,"941",4.0595399188092,55.6,471.00063734863,0
92614,889,22776,104971,44.5,65.7,983142.64,29307,"926",3.90323147172462,55.5,777.152216194083,0
92808,634,16379,137009,51.2,57.2,1043905.42,21496,"928",3.8708101837719,48.8,761.955712690733,1
94536,2066,49517,139636,26.1,54.1,1268749.53,72744,"945",4.17230446109417,73.9,680.702188496646,0
91356,910,21929,90886,66.7,51.9,1234123.77,29968,"913",4.14975603082676,33.3,731.747197010144,1
94530,611,18345,115789,46.9,65.1,1128164.79,26461,"945",3.33060779503952,53.1,693.284456369752,0
90277,1058,28073,111859,62.7,67.5,1513249.09,36409,"902",3.7687457699569,37.3,771.045620588316,1
92662,88,2197,143781,95.8,64.6,3644051.42,2471,"926",4.00546199362767,4.2,889.113719142048,1
91316,776,20347,79858,69.6,51.7,869986.32,28182,"913",3.81383004865582,30.4,721.985664608615,1
95008,1452,36692,128476,48,57,1587454.42,48786,"950",3.95726588902213,52,752.101012585578,0
94602,711,19899,115087,41.2,56,1068643.38,31451,"946",3.57304387155133,58.8,632.69848335506,0
95037,1533,44291,139716,44.7,44.3,1269179.02,52321,"950",3.46119979228286,55.3,846.524340131114,0
91765,1285,37170,99705,14.9,54.8,887000.68,46270,"917",3.45708905030939,85.1,803.328290468986,0
92886,1448,41315,132888,54.2,51.8,1142255.73,50764,"928",3.50478034612126,45.8,813.86415570089,1
94123,545,13435,194098,74.7,86.5,2028447.3,26002,"941",4.05656866393748,25.3,516.691023767402,1
94005,166,4231,122202,39.4,52.5,1112442.08,4803,"940",3.92342235878043,60.6,880.907765979596,0
94526,1172,28094,174350,76,67.8,1675412.74,33473,"945",4.17170926176408,24,839.303319093,1
95051,1762,43059,160979,27.4,68.4,1583901.38,60582,"950",4.09205973199563,72.6,710.75567000099,0
94085,724,17254,153003,19.4,55.3,1382653.09,23805,"940",4.19612843398632,80.6,724.805713085486,0
94103,435,11198,93143,31.7,56.2,839394.48,32430,"941",3.88462225397392,68.3,345.297563983965,0
90066,1316,36664,90983,47.7,57.4,1607186.25,54913,"900",3.5893519528693,52.3,667.674321198988,0
94583,1331,32936,161347,46.2,64.1,1358451.77,39284,"945",4.04117075540442,53.8,838.407494145199,0
94303,1478,35439,133686,24,49.1,1848920.51,48487,"943",4.17054657298457,76,730.896941448223,0
90035,623,17146,101570,68.9,65.1,1559241.84,26411,"900",3.63350052490377,31.1,649.199197304154,1
92677,1976,53229,125495,65.2,55.9,1207286.11,64608,"926",3.71226211275808,34.8,823.876300148588,1
95035,2425,58535,149223,10.7,53.5,1282973.82,79769,"950",4.14282053472281,89.3,733.806365881483,0
93923,406,10274,107255,82.2,64.6,2028985.92,12758,"939",3.95172279540588,17.8,805.298636149867,1
90036,829,22805,87868,57.8,69.4,1831256.58,37596,"900",3.63516772637579,42.2,606.580487285881,1
91789,1247,35152,116583,10,53,1005210.86,41829,"917",3.54745106964042,90,840.373903272849,0
92887,640,17782,143723,55.8,57,1255524.89,20395,"928",3.59914520301428,44.2,871.880362834028,1
92024,1699,43471,133304,75.6,64.2,1627848.89,50840,"920",3.90835269490005,24.4,855.055074744296,1
93953,162,4314,138917,81.5,65.4,2504584.77,3619,"939",3.75521557719054,18.5,1192.04200055264,1
92835,682,19516,132228,52.1,57.3,1109792.73,26917,"928",3.49456855913097,47.9,725.043652710183,1
94118,700,19406,139043,48.9,73.1,1918349.08,41456,"941",3.60713181490261,51.1,468.110768043227,0
91006,877,25071,113817,19.9,54.5,1228073.35,32499,"910",3.49806549399705,80.1,771.439121203729,0
94702,338,10334,86058,47,63.2,1112067.79,16557,"947",3.27075672537256,53,624.146886513257,0
94115,617,15880,138023,50.1,72.4,1432374.46,34193,"941",3.88539042821159,49.9,464.422542625684,1
95139,182,5394,148750,33.5,42.1,1184507.75,7144,"951",3.37411939191694,66.5,755.039193729003,0
95118,886,24269,130745,45.1,51.6,1403932.11,32703,"951",3.65074786765009,54.9,742.103170962909,0
92011,734,19853,121353,64.4,63.6,1409274.03,24518,"920",3.69717423059487,35.6,809.731625744351,1
92656,1390,39094,121275,56.1,55.8,842530.99,53169,"926",3.55553281833529,43.9,735.278075570351,1
94703,344,10777,95125,54.6,69.9,1247975.69,19857,"947",3.19198292660295,45.4,542.730523241174,1
90039,675,20401,99226,42,54.5,1274229.45,28839,"900",3.30866134013039,58,707.410104372551,0
90803,712,23604,98428,65.8,56,1215412.17,32631,"908",3.01643789188273,34.2,723.361220924887,1
94592,24,876,148125,32.8,58.8,724013.07,1096,"945",2.73972602739726,67.2,799.270072992701,0
91024,290,8818,116884,61.3,63.4,1295381.91,11253,"910",3.28872760263098,38.7,783.613258686573,1
92604,656,20095,114575,45.9,63.9,1066916.73,29983,"926",3.26449365513809,54.1,670.213120768435,0
91602,446,13869,83866,59.4,55.1,1040752.21,20465,"916",3.21580503280698,40.6,677.693623259223,1
91708,355,9999,98161,23.3,33.8,679868.35,14179,"917",3.55035503550355,76.7,705.197827773468,0
91362,1207,32312,127279,65.8,54.1,1099003.76,36587,"913",3.73545432037633,34.2,883.155219066882,1
95119,286,8680,133017,37.5,54.8,1279553.86,10354,"951",3.29493087557604,62.5,838.323353293413,0
94030,735,17796,141399,33.9,51.2,1824831.24,23083,"940",4.13014160485502,66.1,770.95698132825,0
94903,846,24166,111423,67.4,55.5,1207393.48,31150,"949",3.50078622858562,32.6,775.794542536116,1
91207,259,7839,103505,75.8,51.4,1506279.49,11488,"912",3.30399285623166,24.2,682.364206128134,1
91307,723,20137,125343,58.1,52.5,946127.74,25773,"913",3.59040572081243,41.9,781.321538043689,1
91208,426,13018,107000,61.8,57.4,1344506.41,15316,"912",3.27239207251498,38.2,849.960825280752,1
94598,757,21464,166534,60.7,74.1,1348570.95,26441,"945",3.5268356317555,39.3,811.769600242048,1
94089,632,16913,136983,24.7,54.5,1301554.87,23492,"940",3.73677053154378,75.3,719.947216073557,0
94612,306,9131,65536,32.2,57,649328.28,16884,"946",3.35122111488336,67.8,540.807865434731,0
95618,568,18774,105343,53.2,77.1,823073.11,26478,"956",3.02546074358155,46.8,709.041468388851,1
94709,141,5039,79808,50.9,79.2,1240280.15,12115,"947",2.79817424092082,49.1,415.930664465539,1
92648,1310,38214,105759,64.7,48.9,1345478.65,45612,"926",3.42806301355524,35.3,837.805840568271,1
90027,870,26628,78356,58.8,57.1,1724085.14,44678,"900",3.26723749436683,41.2,595.998030350508,1
94930,230,6864,114811,83.2,66.1,1158440.17,8796,"949",3.35081585081585,16.8,780.354706684857,1
94110,1078,30923,143938,42.4,60.2,1255266.61,70859,"941",3.48607832357792,57.6,436.401868499414,0
91107,858,26015,111084,38.9,58.2,1155606.65,33148,"911",3.29809725158562,61.1,784.813563412574,0
95131,909,26064,151389,10.7,57.2,1253452.83,31566,"951",3.48756906077348,89.3,825.698536399924,0
95616,673,23320,66205,50.4,76.7,847193.07,52779,"956",2.88593481989708,49.6,441.842399439171,1
91007,736,22195,87339,22.3,51.4,1261836.13,33689,"910",3.3160621761658,77.7,658.820386476298,0
90021,100,2736,25364,19.1,16.5,882029.82,2724,"900",3.65497076023392,80.9,1004.40528634361,0
92121,253,6738,117200,52.2,78.6,970214.87,4213,"921",3.75482338972989,47.8,1599.33539045811,1
90720,525,18760,118531,58.6,50.9,1323409.25,23660,"907",2.79850746268657,41.4,792.899408284024,1
94403,1247,32943,151369,42.6,61.4,1629383.65,44244,"944",3.78532616944419,57.4,744.575535665853,0
95472,754,25063,102283,76,49.5,1061878.93,29753,"954",3.00841878466265,24,842.368836755957,1
95452,45,1292,129563,79.1,78,1230552.57,1360,"954",3.48297213622291,20.9,950,1
91001,891,28541,114668,34.8,47.6,1103053.47,36867,"910",3.12182474335167,65.2,774.161173949603,0
95066,424,12994,130975,77.3,53.3,1227318.5,15265,"950",3.26304448206865,22.7,851.228300032755,1
95126,853,25535,116063,38.4,54.5,1132792.34,36457,"951",3.34051302134325,61.6,700.414186575966,0
94596,553,17307,125731,66.3,72.2,1199563.89,23046,"945",3.19523892066794,33.7,750.976308253059,1
91367,1020,31682,98803,61.1,54.6,1026181.09,44931,"913",3.21949371883088,38.9,705.125637087979,1
93424,37,1225,78629,84.6,52.7,1302897.6,1075,"934",3.02040816326531,15.4,1139.53488372093,1
92692,1146,38489,128194,63.6,54.4,1025441.89,46240,"926",2.97747408350438,36.4,832.374567474048,1
95762,1334,40640,143847,70.6,56.3,885270.45,45340,"957",3.28248031496063,29.4,896.338773709749,1
94619,479,17188,113554,33.6,57.3,915283.57,26514,"946",2.78682801954852,66.4,648.261295919137,0
94116,898,26720,134652,31,57,1388301.45,45510,"941",3.36077844311377,69,587.123709074929,0
