"ZIP","ZIP3","EV_perc","BachOrHigher_perc","Median_Household_Income","Zillow_Home_Value_Index","Latino_perc","White_perc","Asian_perc","Black_perc"
92103,"921",4.85,64,84756,959502.43,17.6,68.2,7.1,2.3
94608,"946",4.85,63,106037,694478.06,11.9,39.7,16.6,22.9
95746,"957",4.83,57.6,159804,1068808.15,9.3,72.4,9.5,3.6
95136,"951",4.82,44.9,131879,1239784.07,27,30,32.2,4.6
94061,"940",4.82,49.1,131140,1722353.22,37.5,43.7,12.4,1.9
92007,"920",4.8,61.2,124219,1726047.43,22.3,71,2.9,0.3
91350,"913",4.78,38.5,122399,764198.61,29.9,47.9,12.4,4.6
94560,"945",4.77,41,144011,1121104.66,29.2,22.2,38.6,3.4
94019,"940",4.76,50.9,137601,1479786.7,32.2,59.5,4.9,0.3
90245,"902",4.76,56.6,126683,1535367.84,16.2,59.2,10.8,4.7
94121,"941",4.76,62.5,116970,1538109.67,6.8,42.5,41.2,1.7
92210,"922",4.75,54.8,120680,1237630.45,3.7,89.4,2.7,2.8
90056,"900",4.74,52.3,105744,1529128.71,8.4,10.5,5.5,66.1
92010,"920",4.74,53.2,108398,1112350.29,13.1,60.3,18.2,1.9
90404,"904",4.73,56.8,74591,1060487.99,28.4,43.8,13.2,8.2
90015,"900",4.71,43.1,53062,703024.98,56.6,13.6,19,7.4
90230,"902",4.71,56.6,96837,1055127.84,29.3,37.7,15.9,9.2
94109,"941",4.7,67.5,104476,979169.1,10.9,52.8,26.7,4.2
94710,"947",4.69,59.9,105729,1008397.7,19.3,44.9,14.2,12.3
91106,"911",4.68,60.5,84153,900447.04,30.6,36,22.8,5.9
94597,"945",4.67,68.4,133930,993924.66,13.1,55.7,22.5,3.8
93109,"931",4.66,57.5,107364,2061456.5,17.2,71.8,3.9,2.7
92807,"928",4.63,42.7,126354,978804.64,25.3,54.2,14.7,1.3
92078,"920",4.63,47.9,97908,935262.15,31.3,52.5,10.2,1.3
95123,"951",4.63,45,124389,1208548.01,29.2,36.3,25.6,3
92122,"921",4.63,74.7,88073,995277.01,13.6,49.6,30.6,1.2
94038,"940",4.62,52.3,116773,1402881.36,30.6,54.1,5,0.5
95060,"950",4.62,55.1,93839,1299056.04,19.3,66.1,7.7,1.5
92880,"928",4.62,40.4,128425,830418.08,40.6,23.7,25.4,6.1
91214,"912",4.6,55.7,116201,1133396.08,16.3,50.7,26.8,0.4
90703,"907",4.59,53.6,115272,955656.15,14.8,12.8,58.1,8.2
90017,"900",4.59,34,44607,664671.05,59.1,11.4,15.3,11.1
92883,"928",4.57,32.6,112151,710080.82,34.8,43.5,10.3,8.3
94122,"941",4.57,59.4,130708,1427642.51,9.7,36.3,44.7,1.8
94949,"949",4.57,48.8,107547,1182957.21,20.5,59.9,7.6,3.8
91739,"917",4.54,43,126111,883776.52,35.3,29.8,19.5,10.9
93924,"939",4.53,51.7,141250,1354069.57,12.8,79.7,0.7,1.6
92705,"927",4.53,44.6,119260,1274836.19,47.3,37.8,9.9,1.8
90012,"900",4.53,35.5,53278,615582.91,29.2,18.6,34.2,13.3
93730,"937",4.52,62.8,130726,625438.16,15.2,57.8,19.3,1.9
92649,"926",4.52,49.2,104320,1156364.59,16.3,63.9,10.7,1
91775,"917",4.51,48.3,99362,1108938,23.7,20,52.4,1
92630,"926",4.49,45.1,108963,977745.45,26.5,49.1,16.5,2.7
95148,"951",4.49,39.7,153433,1324882.64,23.2,9.5,61.7,2.7
95065,"950",4.48,45.6,121538,1249640.38,22.1,68.2,2.1,0.7
94080,"940",4.45,38.4,113008,1169932.57,29.7,21.6,42.7,1.8
95128,"951",4.44,48,105563,1282779.16,32.7,39.3,18.3,4.4
95003,"950",4.43,54.3,128833,1341749.81,13.5,77.3,3.1,0.6
94108,"941",4.43,47.2,65392,978012.45,4.7,33.5,53.3,2.1
91607,"916",4.42,48.9,80871,1163450.49,21.5,58.4,7.2,7.1
92708,"927",4.42,42.6,92765,1129944.91,16.7,39.3,37.1,0.7
93105,"931",4.42,60.5,109018,1675413.87,21.3,70.5,3.9,1.5
94018,"940",4.39,49.3,194038,1441346.34,10.2,87.6,1.1,0
94020,"940",4.39,70.1,191915,940534.62,7.5,81.4,7.2,0
94102,"941",4.36,47,55888,719319.63,20.5,31.6,29.8,9.6
92821,"928",4.36,48.1,105330,943726.14,31.7,40.8,22,1.2
94901,"949",4.35,50,105706,1367476.92,36.2,53.7,4.9,0.9
95818,"958",4.35,61.9,97982,676296.52,22.1,56.2,9,3.8
94609,"946",4.35,61.4,99783,1034522.99,13.6,41.7,11.7,22.7
94133,"941",4.34,50.9,71063,1261047.2,7.5,34.1,52.2,2.6
91101,"911",4.33,61.5,79154,752377.51,30.3,36.6,24.5,4.6
94956,"949",4.33,67.3,73558,1380715.16,5.3,93.6,0,0
95570,"955",4.33,56.6,62679,578748.28,6.8,81.4,0.4,0
92675,"926",4.31,39.8,111875,1083056.71,35.4,55.3,3.9,0.9
90041,"900",4.28,50.6,95811,1168789.7,35.6,30.7,26.3,1.9
92676,"926",4.27,42.6,107794,865108.58,10,84,2.5,0.1
90814,"908",4.26,54.6,84195,868717.22,28,52.6,7.4,8.6
92106,"921",4.26,59.4,117589,1578421.78,14.8,68.8,4.7,2.6
92688,"926",4.26,48.8,127522,883676.9,22.1,58.5,12.1,1.8
95819,"958",4.26,66.3,114622,699503.42,18.8,67.2,5.4,2.6
92672,"926",4.26,45.8,96929,1442554.99,20,69.7,3.4,2.5
95834,"958",4.26,37.2,84073,525939.18,28.1,23.3,28.4,15.2
91780,"917",4.23,42.5,88119,981986.63,18.3,13.1,65.5,0.4
91784,"917",4.22,47.2,138017,898618.49,29.5,49.3,11.9,3.8
95132,"951",4.2,47.9,143695,1388342.39,15.9,13.8,64.7,1.7
95524,"955",4.2,55.6,66750,565282.29,7.6,86.4,0,0
91320,"913",4.19,49.7,130893,916622.85,17.5,65.8,11.3,1.1
94132,"941",4.19,54.8,93995,1234392.19,15.3,26.7,43.9,7.6
93921,"939",4.17,72.4,93693,2096714.47,2.1,90.7,0.6,0
95050,"950",4.15,53,107311,1386838.22,21.5,38.8,30.2,2.9
92118,"921",4.14,64.4,114559,2243397.96,18.1,71.2,3.5,3.3
94547,"945",4.13,45.1,114124,793804.89,16,18,42.3,17.2
92128,"921",4.1,60.4,112779,898568.18,11.5,56.2,22.9,2.7
94587,"945",4.08,41.8,127828,1108804.61,20.3,14.7,55,4.7
91104,"911",4.08,46.3,85049,1086623.7,41.5,34.8,10.9,6.1
95465,"954",4.08,53,79688,1103679.74,3.8,81.5,4.3,1.5
94952,"949",4.07,44.3,102238,1032621.54,20,72.2,2.6,0.8
94704,"947",4.07,71.6,46913,1090649.75,13.1,38.8,35,4.7
94607,"946",4.06,45.5,66211,626003.24,13.6,24.8,25.8,28
95549,"955",4.03,41.6,76017,514925.59,1.9,86.8,0.9,0.1
90505,"905",4.03,57.3,101043,1255437.08,14.1,39.7,37.2,2.7
90740,"907",4.02,49.7,75019,1059186.82,11.9,69.6,12.4,2.1
95816,"958",4.01,63,77839,681595.69,19.5,69.3,4.8,2.6
91914,"919",4,44.3,150284,1029467.08,50.7,18.1,22,3.4
90503,"905",4,55.7,105142,1140094.14,16.2,33.3,40.3,2.8
90623,"906",4,47.9,105632,1019686.83,19.7,24,46.8,4.3
91206,"912",4,44,82664,1034797.81,12.8,67.5,13.7,2.1
91355,"913",3.99,49.3,104637,746017.56,21.7,58.9,11.6,2.5
92532,"925",3.99,29.7,94752,583860.66,35.4,39.8,12.5,7.9
90034,"900",3.98,62.9,88490,1359317.79,26,38.9,20.1,9.1
95133,"951",3.98,41.9,110484,1070702.98,26.4,8.1,59.1,2.9
95630,"956",3.93,56.7,128383,726852.59,14.4,58.8,18.9,1.8
90065,"900",3.93,38.6,80386,1045696.58,54.6,25.8,13.8,1.7
92008,"920",3.92,54,89502,1393651.1,20.1,68.4,5.1,0.7
91202,"912",3.9,48,82476,1096133.21,12.6,69,13.6,2.6
93110,"931",3.9,50.7,99261,1691464.59,27.4,62.6,5.1,1.2
94945,"949",3.9,49.6,109544,1035767.84,18.1,67.5,6.5,1.7
94924,"949",3.87,58.6,90481,1683752.6,1.9,88.9,1.5,0
90028,"900",3.86,51.3,52814,891752.52,29.4,44.1,11.4,8.4
